Alpha,Beta,Gamma,FileSize,Average_Throughput
1,17,2,100000,0.197521
1,17,2,1000000,0.198664
1,17,2,100000000,0.19693
1,17,3,1,0.199619
1,17,3,100,0.196606
1,17,3,1000,0.197192
1,17,3,10000,0.196693
1,17,3,100000,0.195781
1,17,3,1000000,0.197161
1,17,3,100000000,0.197095
1,18,1,1,0.19962
1,18,1,100,0.198137
1,18,1,1000,0.197395
1,18,1,10000,0.198691
1,18,1,100000,0.197752
1,18,1,1000000,0.19623
1,18,1,100000000,0.196944
1,18,2,1,0.19718
1,18,2,100,0.196271
1,18,2,1000,0.197603
1,18,2,10000,0.197407
1,18,2,100000,0.196961
1,18,2,1000000,0.197889
1,18,2,100000000,0.198127
1,18,3,1,0.199212
1,18,3,100,0.197578
1,18,3,1000,0.197449
1,18,3,10000,0.197585
1,18,3,100000,0.197403
1,18,3,1000000,0.198951
1,18,3,100000000,0.197248
1,19,1,1,0.19768
1,19,1,100,0.198648
1,19,1,1000,0.200407
1,19,1,10000,0.197476
1,19,1,100000,0.196309
1,19,1,1000000,0.199783
1,19,1,100000000,0.197446
1,19,2,1,0.198273
1,19,2,100,0.199767
1,19,2,1000,0.198422
1,19,2,10000,0.1989
1,19,2,100000,0.197273
1,19,2,1000000,0.196662
1,19,2,100000000,0.197455
1,19,3,1,0.19641
1,19,3,100,0.196902
1,19,3,1000,0.19546
1,19,3,10000,0.196568
1,19,3,100000,0.197752
1,19,3,1000000,0.19986
1,19,3,100000000,0.196326
1,20,1,1,0.194577
1,20,1,100,0.194619
1,20,1,1000,0.197938
1,20,1,10000,0.195766
1,20,1,100000,0.196207
1,20,1,1000000,0.195989
1,20,1,100000000,0.196716
1,20,2,1,0.198175
1,20,2,100,0.19536
1,20,2,1000,0.196872
1,20,2,10000,0.198262
1,20,2,100000,0.195409
1,20,2,1000000,0.197077
1,20,2,100000000,0.19902
1,20,3,1,0.196927
1,20,3,100,0.1955
1,20,3,1000,0.198545
1,20,3,10000,0.19613
1,20,3,100000,0.199219
1,20,3,1000000,0.197955
1,20,3,100000000,0.196797
1,21,1,1,0.19772
1,21,1,100,0.199292
1,21,1,1000,0.197196
1,21,1,10000,0.19831
1,21,1,100000,0.196336
1,21,1,1000000,0.197956
1,21,1,100000000,0.197835
1,21,2,1,0.197671
1,21,2,100,0.195647
1,21,2,1000,0.198694
1,21,2,10000,0.196569
1,21,2,100000,0.195814
1,21,2,1000000,0.198024
1,21,2,100000000,0.198107
1,21,3,1,0.198379
1,21,3,100,0.197802
1,21,3,1000,0.196853
1,21,3,10000,0.197744
1,21,3,100000,0.201184
1,21,3,1000000,0.197516
1,21,3,100000000,0.196456
1,22,1,1,0.196082
1,22,1,100,0.197256
1,22,1,1000,0.198925
1,22,1,10000,0.197601
1,22,1,100000,0.197746
1,22,1,1000000,0.195803
1,22,1,100000000,0.198828
1,22,2,1,0.1986
1,22,2,100,0.198584
1,22,2,1000,0.199171
1,22,2,10000,0.199182
1,22,2,100000,0.197098
1,22,2,1000000,0.196214
1,22,2,100000000,0.197563
1,22,3,1,0.19668
1,22,3,100,0.198414
1,22,3,1000,0.197507
1,22,3,10000,0.198101
1,22,3,100000,0.198109
1,22,3,1000000,0.198523
1,22,3,100000000,0.197119
1,23,1,1,0.198717
1,23,1,100,0.198563
1,23,1,1000,0.196302
1,23,1,10000,0.197719
1,23,1,100000,0.198149
1,23,1,1000000,0.199442
1,23,1,100000000,0.197961
1,23,2,1,0.196715
1,23,2,100,0.19637
1,23,2,1000,0.199592
1,23,2,10000,0.197654
1,23,2,100000,0.199842
1,23,2,1000000,0.198462
1,23,2,100000000,0.198074
1,23,3,1,0.200588
1,23,3,100,0.197855
1,23,3,1000,0.197078
1,23,3,10000,0.196132
1,23,3,100000,0.197633
1,23,3,1000000,0.197809
1,23,3,100000000,0.199547
1,24,1,1,0.196474
1,24,1,100,0.196378
1,24,1,1000,0.197294
1,24,1,10000,0.195478
1,24,1,100000,0.197187
1,24,1,1000000,0.197045
1,24,1,100000000,0.196506
1,24,2,1,0.197076
1,24,2,100,0.197311
1,24,2,1000,0.196875
1,24,2,10000,0.19686
1,24,2,100000,0.197069
